cell,child_canon,child_t1_floored,child_t1_raw,outcome,step
elimination/0/0,00f9fca325e4b92b9c3f0a9a23cc74c9e9a233dff00d972ac852e38f091aea10,0.0,0.0,t1_invalid_too_short,222
elimination/0/0,dbf76dd34a032737c2da0756319c25e9f9abb0d8cd7e2151c66e3a451c4a442a,0.0,0.0,t1_invalid_too_short,223
connection/0/0,d458ac76da6d509d5355b534a03e2bd392a8d0c098ff85823c7b26f7912f15bb,0.0,0.0,t1_invalid_draw_majority,224
threshold/3/1,90f1115d41643c9bf67467176300aba9cd1e49db3a93de7846f5ff448f876893,0.33333333333333337,0.33333333333333337,guard_vetoed_tilt,225
territory/4/3,42df0a837803ac6d8bf5ebabd35136ff433f07156a651d17ab75158ad47df7d2,0.27083333333333337,0.27083333333333337,lost_first_batch,226
threshold/1/0,652d851cf05f707e77cd18a75c4979b7e3cfab648c0ea72e9c707706af2e7dc5,0.39583333333333337,0.39583333333333337,invalid_draw_majority,227
territory/4/3,87fed135b43f140a000e85b51be95d412bb06bf76f12307af30bcab1d336dd4f,0.29166666666666663,0.29166666666666663,lost_first_batch,228
threshold/4/2,9c90f782732181a3e0a33602404de9316d4b5d5067109a7fd96491eb5eb7e9fe,0.16666666666666663,0.16666666666666663,lost_first_batch,229
connection/2/1,4f978b57eef3a5db622114cdfd037c60a752cefc1e3dcc877773bb756fe65fa8,0.33333333333333337,0.33333333333333337,lost_first_batch,230
connection/4/2,96989ca5f0b7ed20317f07f731954c36c38c67607bbc13a0ff3821f5d77cbc54,0.0,0.0,t1_invalid_draw_majority,231
threshold/4/3,7150b0bd9a38bfcc223fef003036fd64ec5255ebb6e32b49a9016e20bce94d62,0.25,0.25,invalid_draw_majority,232
territory/3/1,df55068117c7dffd4bf9a8f480c8ec038723fbb8194d8e80494088274c240022,0.0,0.0,t1_invalid_draw_majority,233
territory/0/0,426da533ee569acc7569af1e942583adaf76ee653363ab55a95b97d0f305258f,0.0,0.0,t1_invalid_draw_majority,234
threshold/3/2,d024fbfef96a398936f9b0355e147b8572fe69c29161087255b967320f188226,0.5,0.5,guard_vetoed_tilt,235
elimination/0/0,3e7820642adb4bddfca5cc13b773a0d4a396c6aca1ae95a656db71c76731c61b,0.0,0.0,t1_invalid_too_short,236
connection/4/1,7f215918e2cc06194cdcd68e94319b847936b04057781e710922e67cf962b271,0.3125,0.3125,lost_first_batch,237
territory/4/1,23dc1d36c674aed043c3991ce7a9e8c85caabafa88307b30f6810b96d38290c3,0.02083333333333337,0.02083333333333337,t1_invalid_draw_majority,238
connection/4/0,3e822632bf62882714fbdd5e8fe20d658da79e73fa5387af6411c990ba2989bb,0.39583333333333337,0.39583333333333337,invalid_draw_majority,239
connection/3/2,dfdf9547bbc27adc9009408c6814c945f0220b2798de5a58639f48d17bd0dfc3,0.33333333333333337,0.33333333333333337,lost_first_batch,240
elimination/0/0,9c51af18209f96263f5498e250c00ff71dbbce3ccef105a7239b728fe9f17a75,0.0,0.0,t1_invalid_too_short,241
threshold/1/0,64bd1d9e606bd061d2c3558c7c9235a3b1dfa24b10e0d1cbb3179b1fd534f1bc,0.41666666666666663,0.41666666666666663,guard_vetoed_tilt,242
elimination/0/0,e800b53c685c3fbc44de86ccc9d485e33b876b17d3c5cd59bb37dadaf483c86b,0.0,0.0,t1_invalid_too_short,243
threshold/0/0,e2654d815aad61369d1e7a8e9b13dec3aaff5b888bc72ac4bc74e3691e2f68ad,0.0,0.0,t1_invalid_draw_majority,244
elimination/0/0,92a1468b5c86497f66d32483db69373093602d728cb99a127b3a8a88aaceb7cb,0.0,0.0,t1_invalid_too_short,245
connection/1/2,9c08795204dda4bf1e89c21bc0ab1e86a119918ccb44ccbee315a088cf718991,0.29166666666666663,0.29166666666666663,lost_first_batch,246
territory/4/3,93c08389dd637bf135c47d2c68f1982bc1702082c611851238dbec289a6d9ade,0.33333333333333337,0.33333333333333337,invalid_draw_majority,247
elimination/0/0,f296d39bdd9f17ce1021dd5353506e49af0ba2e8e74068e0005a91adc93dc481,0.0,0.0,t1_invalid_too_short,248
connection/2/1,e0d191ddb480c55c14d93e3a2e30881c890eff1d40d8b6e022e9d54e6909c73c,0.0,0.0,t1_invalid_draw_majority,249
territory/4/3,d61a0698827a7c5882443a1493657e5ba519f12a127a03a1019622ef1d1c767a,0.0,0.0,t1_invalid_draw_majority,250
