cell,child_canon,child_t1_floored,child_t1_raw,outcome,parent_canon,parent_t1_floored,parent_t1_raw,step
territory/4/2,00fc33bcdd4a28bfed2047a4d56122d94abe217ac25f8e011acf912f53474eaa,0.1875,0.1875,t1_invalid_draw_majority,b461c5160c5ed04233dd29faf1100243fd2f73c0799f0650f2fcdae5d56e69cb,0.5,0.5,32
connection/1/3,594051c7ba8a8ba16c0492aa4a782146b96e7ae637b2979ee5fd405ab37930ec,0.22916666666666663,0.22916666666666663,filled_empty_cell,d8672edff2a47be5767a0c2fd104f02c75b0d09b3d358aca025d31936569e5b8,0.41666666666666663,0.41666666666666663,33
territory/4/0,a2cca7983c8f92e81ebcccf35416d8cab8cea30b36b40f89e20c3e8ad9e6d245,0.4375,0.4375,guard_vetoed_rush,7e9d7eb3a5e2394e45fee42b25295d367c9ff6c5763fe5399cd4cd1606351928,0.45833333333333337,0.45833333333333337,34
connection/0/0,f71802354f68a39950aec1b57fd48dd276edd3d9915c0179188e291e8551d913,0.0,0.0,t1_invalid_draw_majority,eb87eae703d22a7d7443c6423df48d6fd18695352f45d8982af273df9ef13fb6,0.45833333333333337,0.45833333333333337,35
connection/1/1,1d2b99e04c5a5db21e432959d4f508a60914e96a4b87ee2673e90e94202fcda5,0.45833333333333337,0.45833333333333337,guard_vetoed_tilt,2a48b047cfedb14c800e37dd3964a081296674b8b37724016f86807037c2812e,0.5,0.5,36
territory/4/2,63a32d0d29c7fb913ff9c9ee11961791bd04ef15c8e26313f12db48a7ed83c9c,0.3125,0.3125,filled_empty_cell,21e02e73648b3c47160f7b6a49e1bcbfc163af40f53ad6726ea14267f19320d0,0.41666666666666663,0.41666666666666663,37
territory/4/4,53eab0212bb459e4fa5e1c0861ae1985d38ec4f49b8049c3d26643ca6da45dae,0.35416666666666663,0.35416666666666663,lost_first_batch,f6d9a822ddf2a52fcca714adb2e422aea31de052a0b96c574cfc60ce24667364,0.41666666666666663,0.41666666666666663,38
connection/4/1,83fca163b88b903a9d9694804f76ff0991a7f8e89956c7517ee8357f63e50c9e,0.25,0.25,lost_first_batch,7e9d7eb3a5e2394e45fee42b25295d367c9ff6c5763fe5399cd4cd1606351928,0.45833333333333337,0.45833333333333337,39
connection/4/1,275f3903ccf54001434cf24677e1c74aec2f2864b1de122e08af01812ed4ccae,0.45833333333333337,0.45833333333333337,lost_first_batch,5b387b192e6d5dc5fb247d9bb915b66fd6f513dc1a6c6275fadc72099cca5380,0.47916666666666663,0.47916666666666663,40
territory/4/2,db19267ac6aeb9ac341e6303a34133411fe54f3cf0105335d760cc5722672a4a,0.45833333333333337,0.45833333333333337,replaced,63a32d0d29c7fb913ff9c9ee11961791bd04ef15c8e26313f12db48a7ed83c9c,0.3125,0.3125,41
elimination/0/0,f6bba54bdcee5822637708b0999cda214a4bc01c080cc0c96c3219c22cdcb070,0.0,0.0,t1_invalid_too_short,866574be004e6346eab9248d64cc5a10198ef3bb913887feffe7380e1184de5e,0.29166666666666663,0.29166666666666663,42
connection/3/1,b59950e712f00c4a50f5f43a4b19589ad4f5446b14b2dae1ab07c7075033dd2c,0.45833333333333337,0.45833333333333337,invalid_draw_majority,17f660bc480f84f191884f2bc7f81acf9938ec2e501f0cade2d9a22095b73772,0.5,0.5,43
connection/3/2,4cbf7f516b6fd0b768e1b59d6ee606ac04f826bd8d02c8b48ff8a31b52019ce8,0.27083333333333337,0.27083333333333337,lost_first_batch,2a48b047cfedb14c800e37dd3964a081296674b8b37724016f86807037c2812e,0.5,0.5,44
