section,arm,canon,family,cell,pooled_drama,pooled_n,interaction,length,valid,outcome
stage0,,f826bc814f51c94e,threshold,,0.056910,100,0.308916,45.29,True,
stage0,,47217f9c183e785c,territory,,0.102313,100,0.362690,61.93,True,
stage0,,4fe63d1584b6af7e,territory,,0.093314,100,0.382790,58.12,True,
stage0,,e096a5930e98167c,connection,,nan,100,0.000000,2.00,False,draw_majority
stage0,,893321458159420c,territory,,0.074406,100,0.579437,47.69,True,
stage0,,bb91c86d31f90ae2,threshold,,0.023454,100,0.117450,25.20,True,
stage0,,4d9c1387dc404455,territory,,0.096198,100,0.332450,53.48,True,
stage0,,6281e72d6c43fd28,territory,,0.169589,100,0.302200,47.38,True,
stage0,,3bdf41b6b85ef07c,connection,,0.090665,100,0.284908,67.38,True,
stage0,,e4546ca187f9dfe8,territory,,0.094399,100,0.512230,77.78,True,
stage0,,9ebb64984fa8fa54,territory,,0.106363,100,0.273485,55.13,False,draw_majority
stage0,,b617fd88abac07d8,threshold,,0.069832,100,0.412444,35.23,True,
stage0,,184d8ef8297e24bc,elimination,,0.000000,100,0.000000,1.02,False,too_short
stage0,,5582cd63b03894ed,connection,,0.076944,100,0.268054,32.34,False,draw_majority
stage0,,e427a6f621e554ce,territory,,0.200455,100,0.281144,64.36,False,draw_majority
stage0,,f031c5f15305b89c,threshold,,0.029324,100,0.129426,24.34,True,
stage0,,fa2df44aefaedd72,territory,,0.296301,100,0.210959,37.82,False,draw_majority
stage0,,e01a4abb87c8dade,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,77e94ea6cad0836c,territory,,0.118933,100,0.227025,39.18,True,
stage0,,3c70e9c5a9244275,elimination,,nan,100,0.000000,2.00,False,draw_majority
stage0,,5716ea901ebd3f32,territory,,0.127242,100,0.518861,68.33,True,
stage0,,90835c229d511c61,threshold,,0.020982,100,0.207458,34.74,True,
stage0,,c959cd71b4988879,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,a27579943ed52083,threshold,,0.063111,100,0.459011,37.35,True,
stage0,,92d6d1d330f6fbea,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,11a553e44a8ebf80,threshold,,0.104708,100,0.226957,37.55,False,draw_majority
stage0,,020a5981713926c6,connection,,0.032372,100,0.053449,41.28,True,
stage0,,c61aae8bad7f273d,territory,,nan,100,0.368386,23.99,False,draw_majority
stage0,,625e0bb3740b07a6,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,bf6fc9ba9ba41574,territory,,0.171915,100,0.361388,58.83,True,
stage0,,e8c2dfdb6e7eda57,threshold,,0.056731,100,0.306956,45.35,True,
stage0,,e381ca62f1a01ac2,threshold,,0.030337,100,0.100953,23.30,True,
stage0,,96175ee1cbe0ee4e,connection,,0.099544,100,0.209486,35.74,False,draw_majority
stage0,,d1d270d70e561e9b,connection,,0.104399,100,0.436113,26.19,True,
stage0,,4a43039f9f2b5cc8,territory,,0.031094,100,0.169397,23.80,False,draw_majority
stage0,,0a76fec30200876f,threshold,,0.049713,100,0.335100,40.97,True,
stage0,,320199db5721e875,connection,,0.045232,100,0.205706,52.61,True,
stage0,,fa9c70739bb6876c,territory,,nan,100,0.279290,64.96,False,draw_majority
stage0,,b4b560feb978c63d,connection,,0.040831,100,0.065461,40.89,True,
stage0,,1230334d8aa485d5,connection,,0.056464,100,0.193966,27.27,True,
stage0,,7f4fb31415eee810,threshold,,0.061383,100,0.268545,30.34,True,
stage0,,8bf600cfbc8ed735,threshold,,0.065038,100,0.461677,21.25,True,
stage0,,a65861d10caaab33,territory,,0.119894,100,0.467236,59.20,True,
stage0,,4e1c50ab4f521181,threshold,,0.059668,100,0.415600,57.37,True,
stage0,,a1aac8464d8e64b4,connection,,0.152683,100,0.554231,68.35,False,draw_majority
stage0,,f56149960603ad38,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,e28697f34b0b7c68,territory,,0.115328,100,0.228535,29.01,False,draw_majority
stage0,,8ceca1e0778690e8,threshold,,0.124979,100,0.614983,49.93,True,
stage0,,611024aefcfc73b6,threshold,,0.070733,100,0.164178,23.06,True,
stage0,,377162170fc74470,connection,,0.079837,100,0.295479,34.76,True,
stage0,,30e02b3a5007d061,connection,,0.089601,100,0.431746,49.17,False,draw_majority
stage0,,7fb7f48525fe5c50,connection,,0.095909,100,0.527708,59.26,True,
stage0,,c9a6a722d9c95d5d,threshold,,0.070137,100,0.288018,38.32,True,
stage0,,308e49c4c19d5212,territory,,0.102609,100,0.635544,63.93,True,
stage0,,16c2009b9bee29fc,connection,,0.079493,100,0.206198,59.91,True,
stage0,,f295d36b13aba6cf,connection,,0.106302,100,0.442933,27.37,True,
stage0,,f1f8a7bd7a519c54,connection,,0.060421,100,0.302108,46.47,True,
stage0,,90e0bd59c053ac9c,connection,,0.306568,100,0.054871,15.89,False,draw_majority
stage0,,03043b4cda08f14e,connection,,0.220698,100,0.254722,29.91,False,draw_majority
stage0,,197b0cba9a575643,threshold,,0.042902,100,0.197784,25.91,False,draw_majority
stage0,,da507878a2180169,connection,,0.068955,100,0.198940,28.09,True,
stage0,,9225fb2217df6ec3,territory,,nan,100,0.130093,53.62,False,draw_majority
stage0,,7af2887a7adb1da4,territory,,0.135465,100,0.498194,39.42,True,
stage0,,3c3a595fccd1d2b4,connection,,0.060478,100,0.294890,37.25,True,
stage0,,1ea229710e33339f,threshold,,0.047045,100,0.179849,23.64,True,
stage0,,9b7ac643dbdf191d,threshold,,0.051856,100,0.503810,61.21,True,
stage0,,ab12679f5277be9b,threshold,,0.071126,100,0.598579,80.74,False,draw_majority
stage0,,e266d05465cc0ee0,connection,,0.054705,100,0.155271,43.85,True,
stage0,,4b6baa990d05ae4d,connection,,0.122514,100,0.237118,24.84,False,draw_majority
stage0,,3468469d72ea7734,territory,,0.221647,100,0.247931,42.97,True,
stage0,,39e36c9d1f66e4a7,threshold,,0.017757,100,0.328538,47.69,True,
stage0,,c1a2e5e1ee0c19c6,territory,,0.076561,100,0.411442,59.59,True,
stage0,,f70ea70527cc522d,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,6e175a296b9c07ff,threshold,,0.105355,100,0.386402,40.29,True,
stage0,,977daa4ebf347c24,connection,,0.145586,100,0.303732,48.26,True,
stage0,,d494512361516205,threshold,,0.095145,100,0.582615,73.08,True,
stage0,,4b1e888c45b54089,connection,,0.065431,100,0.221937,29.64,False,draw_majority
stage0,,466e06070e6a39da,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,38f4a33afa426f44,threshold,,0.015514,100,0.447195,45.78,True,
stage0,,05652fbe4ca68bf4,territory,,0.178587,100,0.051033,40.62,True,
stage0,,cf1b07c245ac28c1,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,ded38ac71df97f57,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,dd28032da3afdeb8,territory,,0.189216,100,0.419181,76.11,True,
stage0,,a6a23f56d2df179c,threshold,,0.041629,100,0.255746,47.96,True,
stage0,,916506c68b21d6ea,elimination,,0.000000,100,0.000000,1.01,False,too_short
stage0,,563c621f0f61b9e9,territory,,0.156198,100,0.587629,68.06,True,
stage0,,3dd7d9c22196d022,territory,,0.028207,100,0.420079,66.54,False,draw_majority
stage0,,a4e9b28b23d40541,connection,,0.039649,100,0.211782,60.27,True,
stage0,,fc35640d5ba0a72f,territory,,0.136293,100,0.705449,78.72,True,
stage0,,7cff796b7d80f538,elimination,,0.000000,100,0.000000,1.00,False,too_short
stage0,,7644a9b7ed9152af,elimination,,0.000000,100,0.000000,1.02,False,too_short
stage0,,5d54cf4534bc54ae,connection,,nan,100,0.000000,2.00,False,draw_majority
stage0,,104da5903677817b,threshold,,0.149670,100,0.103155,16.47,False,draw_majority
